Admin_Unit_Code,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Blackpoll Warbler,Setophaga striata,BLPW,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,BHCO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,MODO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50 - 100 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,BHCO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Baltimore Oriole,Icterus galbula,BAOR,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,Unknown,TRUE,Undetermined,Fish Crow,Corvus ossifragus,FICR,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,GCFL,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Robin,Turdus migratorius,AMRO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,MODO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,Unknown,TRUE,Undetermined,Turkey Vulture,Cathartes aura,TUVU,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Kingbird,Tyrannus tyrannus,EAKI,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,RBWO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,FISP,FALSE,TRUE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Towhee,Pipilo erythrophthalmus,EATO,FALSE,TRUE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,CHSP,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0028,Grassland,2018,22-05-2018,06:56:00,07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,ETTI,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,FISP,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,MODO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,BHCO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Male,Grasshopper Sparrow,Ammodramus savannarum,GRSP,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,Unknown,TRUE,Undetermined,Canada Goose,Branta canadensis,CANG,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,Unknown,TRUE,Undetermined,Canada Goose,Branta canadensis,CANG,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Chipping Sparrow,Spizella passerina,CHSP,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,INBU,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,MODO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,BLJA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,BHCO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,FISP,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,CACH,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,CARW,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,EATO,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0027,Grassland,2018,22-05-2018,06:39:00,06:49:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,EATO,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Baltimore Oriole,Icterus galbula,BAOR,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Gray Catbird,Dumetella carolinensis,GRCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,EATO,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,WOTH,TRUE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,GCFL,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,Unknown,TRUE,Undetermined,Unidentified Crow,Corvus,UNCR,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Horned Lark,Eremophila alpestris,HOLA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,BHCO,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,INBU,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Robin,Turdus migratorius,AMRO,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,ANTI-0018,Grassland,2018,22-05-2018,07:29:00,07:39:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Eastern Wood-Pewee,Contopus virens,EAWP,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Male,Orchard Oriole,Icterus spurius,OROR,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,INBU,FALSE,TRUE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,5 - 7.5 min,Visualization,Unknown,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,CEDW,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,CACH,FALSE,TRUE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,5 - 7.5 min,Visualization,Unknown,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,CEDW,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,NOCA,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Chipping Sparrow,Spizella passerina,CHSP,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Grasshopper Sparrow,Ammodramus savannarum,GRSP,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,ANTI-0105,Grassland,2018,22-05-2018,06:43:00,06:53:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Common Yellowthroat,Geothlypis trichas,COYE,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
